Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
3,3,3,3,3,,,,,,,,,,
1,2,2,,,A350-1000,Solo Leisure,Economy Class,London Heathrow to Vancouver,Jun-24,2,2,1,no,
3,3,3,,,A350-1000,Solo Leisure,Business Class,Vancouver to London Heathrow,Jun-24,3,1,2,no,3
3,3,5,,,A320/A380,Couple Leisure,Business Class,Belfast to San Francisco via London,Apr-24,5,5,4,yes,
1,,2,,,,Couple Leisure,Economy Class,London Heathrow to Keflavik,Jun-24,3,3,2,no,
4,3,5,,,Boeing 777,Solo Leisure,Business Class,New York JFK to London Heathrow,Jun-24,5,1,2,yes,
4,3,4,,,Boeing 777,Solo Leisure,Premium Economy,London to newark,Jun-24,4,4,3,yes,
2,,1,,,,Couple Leisure,Economy Class,Florence to Heathrow,Jun-24,3,1,1,no,
5,,1,,,A320,Couple Leisure,Business Class,London to Manchester,Jun-24,5,2,4,no,
5,,5,,,A320,Solo Leisure,Business Class,London to Amsterdam,May-24,5,4,5,yes,
,,1,,,,Couple Leisure,Premium Economy,Tokyo to Manchester via London,May-24,,1,2,no,
,,1,,,Boeing 747,Business,Business Class,Heathrow to San Francisco,Jun-24,1,1,1,no,
2,4,4,,,,Couple Leisure,Business Class,Tampa to Gatwick,May-24,3,1,2,no,
1,1,1,,,,Family Leisure,Premium Economy,Los Angeles to London,Jan-24,1,1,1,no,1
1,,5,,,A320,Solo Leisure,Economy Class,Hannover to London Heathrow,May-24,4,5,3,yes,
3,5,2,,,,Family Leisure,Economy Class,Austin to London Heathrow,May-24,3,3,3,no,4
1,1,1,,,,Business,Business Class,Vienna to Johannesburg via London,Oct-23,2,1,3,no,2
,,1,,,A380,Couple Leisure,Economy Class,Johannesburg to Heathrow,May-24,1,1,1,no,
1,1,2,,,,Solo Leisure,Economy Class,London Heathrow to Singapore,May-24,1,1,1,no,1
2,1,2,,,Boeing 787-9,Couple Leisure,Business Class,London Heathrow to Hong Kong,May-24,3,2,1,no,1
,,,,,,Solo Leisure,Economy Class,Boston to London,May-24,,1,3,no,
5,5,4,,,,Couple Leisure,Economy Class,New York to Manchester via London,May-24,5,4,4,yes,
4,4,2,,,A380 / Boeing 777-200ER,Family Leisure,Business Class,London to San Francisco,Aug-23,5,5,2,no,
1,2,2,,,,Couple Leisure,Economy Class,Malaga to Boston via London,May-24,2,1,2,no,1
3,2,1,,,A380,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,Apr-24,2,2,1,no,
1,,2,,,A320,Couple Leisure,Economy Class,Catania to Gatwick,May-24,1,3,1,no,1
,,3,,,,Solo Leisure,Economy Class,London to Hannover,Apr-24,3,1,1,no,1
2,,3,,,A319 / A320,Solo Leisure,Economy Class,Manchester to Copenhagen via London,Apr-24,3,4,4,yes,
,,1,,,,Solo Leisure,Economy Class,London to Valencia,Apr-24,1,1,1,no,1
3,1,3,,,A380,Business,Economy Class,Singapore to London,Apr-24,3,1,1,no,
1,,3,,,A320,Business,Economy Class,Madrid to London Heathrow,Apr-24,1,2,1,no,4
1,,3,,,A350,Solo Leisure,Economy Class,Austin to London Heathrow,Apr-24,2,1,1,no,1
1,2,2,,,,Couple Leisure,Premium Economy,Zurich to Phoenix via Heathrow,Feb-24,1,1,1,no,2
3,,3,,,A319 / E190,Couple Leisure,Economy Class,Rotterdam to London City,Mar-24,3,3,2,no,
,,2,,,,Solo Leisure,Premium Economy,Kansas City to Dublin via Heathrow,Apr-24,3,3,1,no,
,,,,,,Family Leisure,Economy Class,Tenerife to London,Jan-24,,1,1,no,
3,4,3,,,A340,Business,Business Class,Lisbon to San Diego,Mar-24,4,5,4,yes,4
3,4,3,,,Boeing 787,Business,Business Class,London Heathrow to Mumbai,Mar-24,5,4,3,yes,
1,2,3,,,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,Mar-24,1,2,1,no,1
1,5,5,,,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,Mar-24,1,5,3,no,1
5,5,4,,,A350,Solo Leisure,Business Class,London Heathrow to São Paulo,Mar-24,4,4,4,yes,
,,4,,,,Couple Leisure,Economy Class,London Heathrow to Nice,Mar-24,3,2,1,no,
5,5,5,,,Boeing 777,Business,Business Class,London to Tokyo,Mar-24,2,3,4,yes,
,,4,,,A320,Business,Economy Class,Lisbon to London,Mar-24,3,1,3,yes,
5,5,5,,,Boeing 777,Couple Leisure,Business Class,London to Delhi,Feb-24,5,5,5,yes,
5,,5,,,A320,Couple Leisure,Economy Class,London to Milan,Mar-24,5,4,5,yes,
,,3,,,,Couple Leisure,Economy Class,Madrid to London Heathrow,Mar-24,3,3,2,no,
,,4,,,A320,Solo Leisure,Economy Class,London Heathrow to Toulouse,Mar-24,4,3,3,yes,
5,4,4,,,Boeing 787-8 /777-200 / A320-200,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,Mar-24,5,3,4,yes,
2,1,2,,,A321,Business,Business Class,Paphos to London,Mar-24,1,1,1,no,2
3,2,1,,,Boeing 777-300,Business,Business Class,London to Houston,Mar-24,3,1,1,no,2
3,,2,,,A320,Solo Leisure,Business Class,London Heathrow to Brussels,Mar-24,4,3,3,yes,
2,2,3,,,Boeing 777,Solo Leisure,Business Class,Barbados to London heathrow,Mar-24,3,1,2,no,
2,,2,,,,Family Leisure,Economy Class,Toronto to Mumbai via London,Feb-24,1,1,1,no,
1,,3,,,,Family Leisure,Economy Class,Copenhagen to Port of Spain via London,Feb-24,4,2,5,yes,
1,,2,,,Boeing 777-300ER,Solo Leisure,First Class,Los Angeles to London,Mar-24,1,3,1,no,3
2,2,1,,,Boeing 777-300,Business,Business Class,Singapore to Sydney,Mar-24,1,3,2,no,
,1,1,,,,Business,Business Class,Cyprus to London,Feb-24,3,3,1,no,1
3,3,2,,,,Solo Leisure,Economy Class,Singapore to Auckland via Sydney,Mar-24,3,1,1,no,1
1,2,2,,,Boeing 787,Couple Leisure,Business Class,London Heathrow to Mexico City,Mar-24,2,2,1,no,1
5,,4,,,A319,Solo Leisure,Business Class,Heathrow to Oslo,Feb-24,5,5,5,yes,
,,,,,,Solo Leisure,Economy Class,Sydney to Porto via Singapore / London,Jun-23,,,1,no,
1,,1,,,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,Feb-24,3,2,3,no,
,,1,,,A320,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,Feb-24,3,1,1,no,
,,,,,,Couple Leisure,Economy Class,Pisa to London Heathrow,Sep-23,,,1,no,
5,,5,,,A320,Couple Leisure,Business Class,Malaga to London Heathrow,Feb-24,5,4,4,yes,
3,3,1,,,A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,Feb-24,5,1,1,no,1
1,,3,,,A320,Solo Leisure,Economy Class,London to Istanbul,Feb-24,1,2,2,no,
3,3,3,,,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",Jan-24,5,4,2,no,
1,,1,,,A380,Solo Leisure,First Class,London to San Francisco,Nov-23,4,4,1,no,2
,,,,,,Couple Leisure,Economy Class,London Heathrow to Casablanca,Feb-24,,1,1,no,
